#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,DBB8432C9924334AE040007F0100533A|698599|DBCB39D342BF69D1E040007F0100541B,20000金币,货币,2,￥,20000,0,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.01,DBB8432C9924334AE040007F0100533A|698599|DBDCB211A33E410CE040007F01004924,100000金币,货币,10,￥,100000,5000,money,shop,-1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.4,DBB8432C9924334AE040007F0100533A|698599|DBDCB211A340410CE040007F01004924,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.20,DBB8432C9924334AE040007F0100533A|698599|DBDCB211A341410CE040007F01004924,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android,*,
Horn,casual.card.zhajinhua.horn.50,DBB8432C9924334AE040007F0100533A|698599|DC91E108B76EB269E040007F01003E02,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android,*,
Golds,casual.card.zhajinhua.golds.11,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21C81081E0430100007FAB2F,20000金币,货币,2,￥,20000,0,money,shop,-1,android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.01,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21C91081E0430100007FAB2F,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.4,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21CA1081E0430100007FAB2F,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.20,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21CB1081E0430100007FAB2F,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android_hg_aaa,*,
Horn,casual.card.zhajinhua.horn.50,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21CC1081E0430100007FAB2F,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.02,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21CD1081E0430100007FAB2F,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.10,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21CE1081E0430100007FAB2F,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android_hg_aaa,*,
LittlePay,casual.card.zhajinhua.gifts.10,E10B99C4F50FC9A8E040007F01001EAD|1012855|EDA3628D21CF1081E0430100007FAB2F,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android_hg_aaa,*,3:10
