#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,11,20000金币,货币,2,￥,20000,0,money,shop,-1,android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.01,1,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.03,3,300000金币,货币,30,￥,300000,50000,money,shop,-1,android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.04,4,500000金币,货币,50,￥,500000,135000,money,shop,-1,android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.05,5,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.06,6,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android_hg|android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.20,20,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android_hg|android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.60,60,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android_hg|android_hg_ysz,*,
Horn,casual.card.zhajinhua.horn.50,50,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_hg|android_hg_ysz,*,
MatchNote,casual.card.zhajinhua.notes.02,02,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android_hg|android_hg_ysz,*,
MatchNote,casual.card.zhajinhua.notes.10,10,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android_hg|android_hg_ysz,*,
