#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,300007909564|918D23A7F1544F0C|30000790956401,20000金币,货币,2,￥,20000,0,money,shop,-1,android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.01,300007909564|918D23A7F1544F0C|30000790956402,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.03,300007909564|918D23A7F1544F0C|30000790956403,300000金币,货币,30,￥,300000,50000,money,shop,-1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.4,300007909564|918D23A7F1544F0C|30000790956404,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.20,300007909564|918D23A7F1544F0C|30000790956405,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.60,300007909564|918D23A7F1544F0C|30000790956406,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android_hg_aaa,*,
Horn,casual.card.zhajinhua.horn.50,300007909564|918D23A7F1544F0C|30000790956407,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.02,300007909564|918D23A7F1544F0C|30000790956408,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.10,300007909564|918D23A7F1544F0C|30000790956409,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android_hg_aaa,*,
LittlePay,casual.card.zhajinhua.gifts.10,300007909564|918D23A7F1544F0C|30000790956410,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android_hg_aaa,*,3:10
Golds,casual.card.zhajinhua.golds.11,300007874661|2BB1A5C14E900DAD|30000787466101,20000金币,货币,2,￥,20000,0,money,shop,-1,android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.01,300007874661|2BB1A5C14E900DAD|30000787466102,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.03,300007874661|2BB1A5C14E900DAD|30000787466103,300000金币,货币,30,￥,300000,50000,money,shop,-1,android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.4,300007874661|2BB1A5C14E900DAD|30000787466104,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.20,300007874661|2BB1A5C14E900DAD|30000787466105,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.60,300007874661|2BB1A5C14E900DAD|30000787466106,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android_hg_ysz,*,
Horn,casual.card.zhajinhua.horn.50,300007874661|2BB1A5C14E900DAD|30000787466107,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_hg_ysz,*,
MatchNote,casual.card.zhajinhua.notes.02,300007874661|2BB1A5C14E900DAD|30000787466108,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android_hg_ysz,*,
MatchNote,casual.card.zhajinhua.notes.10,300007874661|2BB1A5C14E900DAD|30000787466109,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android_hg_ysz,*,
LittlePay,casual.card.zhajinhua.gifts.10,300007874661|2BB1A5C14E900DAD|30000787466110,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android_hg_ysz,*,3:10
KickCard,casual.card.zhajinhua.kickcard.02,300007874661|2BB1A5C14E900DAD|30000787466111,2张踢人卡,货币,2,￥,2,0,money,property_shop,1,android_hg_ysz,*,
KickCard,casual.card.zhajinhua.kickcard.10,300007874661|2BB1A5C14E900DAD|30000787466112,10张踢人卡,货币,10,￥,12,0,money,property_shop,1,android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.11,300007806152|5DFD5E4BEC22F788|30000780615201,20000金币,货币,2,￥,20000,0,money,shop,-1,ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.01,300007806152|5DFD5E4BEC22F788|30000780615202,100000金币,货币,10,￥,100000,5000,money,shop,-1,ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.03,300007806152|5DFD5E4BEC22F788|30000780615203,300000金币,货币,30,￥,300000,50000,money,shop,-1,ios_huangguan,*,
Diamonds,casual.card.zhajinhua.diamonds.4,300007806152|5DFD5E4BEC22F788|30000780615204,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,ios_huangguan,*,
Diamonds,casual.card.zhajinhua.diamonds.20,300007806152|5DFD5E4BEC22F788|30000780615205,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,ios_huangguan,*,
Diamonds,casual.card.zhajinhua.diamonds.60,300007806152|5DFD5E4BEC22F788|30000780615206,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,ios_huangguan,*,
Horn,casual.card.zhajinhua.horn.50,300007806152|5DFD5E4BEC22F788|30000780615207,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,ios_huangguan,*,
MatchNote,casual.card.zhajinhua.notes.02,300007806152|5DFD5E4BEC22F788|30000780615208,20张参赛券,货币,2,￥,20,0,money,property_shop,1,ios_huangguan,*,
