#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,300002818779|4A96DE39AE903FBC|30000281877908,20000金币,货币,2,￥,20000,0,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.01,300002818779|4A96DE39AE903FBC|30000281877909,100000金币赠5千,货币,10,￥,100000,5000,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.03,300002818779|4A96DE39AE903FBC|30000281877910,300000金币赠5万,货币,30,￥,300000,50000,money,shop,-1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.4,300002818779|4A96DE39AE903FBC|30000281877911,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.20,300002818779|4A96DE39AE903FBC|30000281877912,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.60,300002818779|4A96DE39AE903FBC|30000281877913,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android,*,
Horn,casual.card.zhajinhua.horn.50,300002818779|4A96DE39AE903FBC|30000281877914,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android,*,
Golds,casual.card.zhajinhua.golds.201,300002846565|E4312200947C2ADE|30000284656501,20000金币,货币,2,￥,20000,0,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.202,300002846565|E4312200947C2ADE|30000284656502,100000金币赠5千,货币,10,￥,100000,5000,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.203,300002846565|E4312200947C2ADE|30000284656503,300000金币赠5万,货币,30,￥,300000,50000,money,shop,-1,android_lite,*,
Diamonds,casual.card.zhajinhua.diamonds.204,300002846565|E4312200947C2ADE|30000284656504,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android_lite,*,
Diamonds,casual.card.zhajinhua.diamonds.220,300002846565|E4312200947C2ADE|30000284656505,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android_lite,*,
Diamonds,casual.card.zhajinhua.diamonds.260,300002846565|E4312200947C2ADE|30000284656506,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android_lite,*,
Horn,casual.card.zhajinhua.horn.250,300002846565|E4312200947C2ADE|30000284656507,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_lite,*,
