#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.101,casual.card.zhajinhua.golds.60k,60000金币,货币,6,￥,60000,0,money,shop,-1,ios,ofw,
Golds,casual.card.zhajinhua.golds.102,casual.card.zhajinhua.golds.1480k,980000金币,货币,98,￥,980000,500000,money,shop,-1,ios,ofw,
Golds,casual.card.zhajinhua.golds.103,casual.card.zhajinhua.golds.3980k,1980000金币,货币,198,￥,1980000,2000000,money,shop,-1,ios,ofw,
Golds,casual.card.zhajinhua.golds.104,casual.card.zhajinhua.golds.7910k,2980000金币,货币,298,￥,2980000,4930000,money,shop,-1,ios,ofw,
Horn,casual.card.zhajinhua.horn.50.1,casual.card.zhajinhua.horn.50.1,小喇叭x50,货币,6,￥,50,0,money,property_shop,1,ios,ofw,
Golds,casual.card.zhajinhua.golds.11,casual.card.zhajinhua.golds.20k,20000金币,货币,2,￥,20000,0,money,shop,-1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.01,casual.card.zhajinhua.golds.105k,100000金币,货币,10,￥,100000,5000,money,shop,-1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.03,casual.card.zhajinhua.golds.350k,300000金币,货币,30,￥,300000,50000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.04,casual.card.zhajinhua.golds.635k,500000金币,货币,50,￥,500000,135000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.05,casual.card.zhajinhua.golds.1555k,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.06,casual.card.zhajinhua.golds.8000k,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.4,casual.card.zhajinhua.diamonds.4,钻石x4,货币,2,￥,4,0,money,change_card,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.20,casual.card.zhajinhua.diamonds.20,钻石x20,货币,10,￥,20,0,money,change_card|property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.60,casual.card.zhajinhua.diamonds.60,钻石x60,货币,30,￥,60,0,money,change_card|property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Horn,casual.card.zhajinhua.horn.50,casual.card.zhajinhua.horn.50,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.02,casual.card.zhajinhua.notes.20,参赛券x20,货币,2,￥,20,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.10,casual.card.zhajinhua.notes.120,参赛券x120,货币,10,￥,120,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
LittlePay,casual.card.zhajinhua.gifts.10,casual.card.zhajinhua.gifts.10,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android|android_hg_ysz|android_hg|android_hg_aaa,*,3:10
KickCard,casual.card.zhajinhua.kickcard.02,casual.card.zhajinhua.kickcard.02,踢人卡x2,货币,2,￥,2,0,money,property_shop,1,android|android_hg_ysz|android_hg|android_hg_aaa,*,
KickCard,casual.card.zhajinhua.kickcard.10,casual.card.zhajinhua.kickcard.10,踢人卡x10,货币,10,￥,12,0,money,property_shop,1,android|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.201,casual.card.zhajinhua.golds.20k,20000金币,货币,2,￥,20000,0,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Golds,casual.card.zhajinhua.golds.202,casual.card.zhajinhua.golds.105k,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
