#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,casual.card.zhajinhua.golds.20k,20000金币,货币,2,￥,20000,0,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Golds,casual.card.zhajinhua.golds.01,casual_card_zhajinhua_golds_105k,100000金币,货币,10,￥,100000,5000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Golds,casual.card.zhajinhua.golds.03,casual_card_zhajinhua_golds_350k,300000金币,货币,30,￥,300000,50000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Golds,casual.card.zhajinhua.golds.04,casual_card_zhajinhua_golds_635k,500000金币,货币,50,￥,500000,135000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Golds,casual.card.zhajinhua.golds.05,casual_card_zhajinhua_golds_1555k,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Golds,casual.card.zhajinhua.golds.06,casual_card_zhajinhua_golds_8000k,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Diamonds,casual.card.zhajinhua.diamonds.4,casual_card_zhajinhua_diamonds_4,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Diamonds,casual.card.zhajinhua.diamonds.20,casual_card_zhajinhua_diamonds_20,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Diamonds,casual.card.zhajinhua.diamonds.60,casual_card_zhajinhua_diamonds_60,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
Horn,casual.card.zhajinhua.horn.50,casual_card_zhajinhua_horn_50,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg,*,
MatchNote,casual.card.zhajinhua.notes.02,casual_card_zhajinhua_notes_20,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg,*,
MatchNote,casual.card.zhajinhua.notes.10,casual_card_zhajinhua_notes_120,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg,*,
KickCard,casual.card.zhajinhua.kickcard.02,casual_card_zhajinhua_kickcard_02,2张踢人卡,货币,2,￥,2,0,money,property_shop,1,android|android_hg_ysz|android_hg,*,
KickCard,casual.card.zhajinhua.kickcard.10,casual_card_zhajinhua_kickcard_10,10张踢人卡,货币,10,￥,12,0,money,property_shop,1,android|android_hg_ysz|android_hg,*,
Golds,casual.card.zhajinhua.golds.201,casual.card.zhajinhua.golds_20k,20000金币,货币,2,￥,20000,0,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.202,casual_card_zhajinhua_golds_105k,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.203,casual_card_zhajinhua_golds_350k,300000金币,货币,30,￥,300000,50000,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.204,casual_card_zhajinhua_golds_635k,500000金币,货币,50,￥,500000,135000,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.205,casual_card_zhajinhua_golds_1555k,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android_lite,*,
Golds,casual.card.zhajinhua.golds.206,casual_card_zhajinhua_golds_8000k,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android_lite,*,
Diamonds,casual.card.zhajinhua.diamonds.204,casual_card_zhajinhua_diamonds_4,4颗钻石,货币,2,￥,4,0,money,change_card,1,android_lite,*,
Diamonds,casual.card.zhajinhua.diamonds.220,casual_card_zhajinhua_diamonds_20,20颗钻石,货币,10,￥,20,0,money,change_card,1,android_lite,*,
Diamonds,casual.card.zhajinhua.diamonds.260,casual_card_zhajinhua_diamonds_60,60颗钻石,货币,30,￥,60,0,money,change_card,1,android_lite,*,
Horn,casual.card.zhajinhua.horn.250,casual_card_zhajinhua_horn_50,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_lite,*,
Golds,casual.card.zhajinhua.golds.201,casual.card.zhajinhua.golds.20k,20000金币,货币,2,￥,20000,0,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Golds,casual.card.zhajinhua.golds.202,casual.card.zhajinhua.golds.105k,100000金币,货币,10,￥,100000,5000,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Golds,casual.card.zhajinhua.golds.203,casual.card.zhajinhua.golds.350k,300000金币,货币,30,￥,300000,50000,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Golds,casual.card.zhajinhua.golds.204,casual.card.zhajinhua.golds.635k,500000金币,货币,50,￥,500000,135000,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Golds,casual.card.zhajinhua.golds.205,casual.card.zhajinhua.golds.1555k,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Golds,casual.card.zhajinhua.golds.206,casual.card.zhajinhua.golds.8000k,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.204,casual.card.zhajinhua.diamonds.4,钻石x4,货币,2,￥,4,0,money,change_card,1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.220,casual.card.zhajinhua.diamonds.20,钻石x20,货币,10,￥,20,0,money,change_card|property_shop,1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.260,casual.card.zhajinhua.diamonds.60,钻石x60,货币,30,￥,60,0,money,change_card|property_shop,1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
Horn,casual.card.zhajinhua.horn.250,casual.card.zhajinhua.horn.50,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android_lite|android_zhenren|ios_zhenren|android_zhr_ysz,*,
MatchNote,casual.card.zhajinhua.notes.202,casual.card.zhajinhua.notes.20,参赛券x20,货币,2,￥,20,0,money,property_shop,1,android_zhenren|ios_zhenren|android_zhr_ysz,*,
MatchNote,casual.card.zhajinhua.notes.210,casual.card.zhajinhua.notes.120,参赛券x120,货币,10,￥,120,0,money,property_shop,1,android_zhenren|ios_zhenren|android_zhr_ysz,*,
LittlePay,casual.card.zhajinhua.gifts.210,casual.card.zhajinhua.gifts.10,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android_zhenren|android_zhr_ysz,*,3:10
KickCard,casual.card.zhajinhua.kickcard.202,casual.card.zhajinhua.kickcard.02,踢人卡x2,货币,2,￥,2,0,money,property_shop,1,android_zhenren|android_zhr_ysz,*,
KickCard,casual.card.zhajinhua.kickcard.210,casual.card.zhajinhua.kickcard.10,踢人卡x10,货币,10,￥,12,0,money,property_shop,1,android_zhenren|android_zhr_ysz,*,
