#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,906691843320131216151734694400|86006826|9066918433|131216019115|906691843320131216151734694400001,2万金币,货币,2,￥,20000,0,money,shop,-1,android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.01,906691843320131216151734694400|86006826|9066918433|131216019116|906691843320131216151734694400002,10万金币,货币,10,￥,100000,5000,money,shop,-1,android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.03,906691843320131216151734694400|86006826|9066918433|131216019117|906691843320131216151734694400003,30万金币,货币,30,￥,300000,50000,money,shop,-1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.4,906691843320131216151734694400|86006826|9066918433|131216019118|906691843320131216151734694400004,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.20,906691843320131216151734694400|86006826|9066918433|131216019119|906691843320131216151734694400005,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.60,906691843320131216151734694400|86006826|9066918433|131216019120|906691843320131216151734694400006,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android_hg_aaa,*,
Horn,casual.card.zhajinhua.horn.50,906691843320131216151734694400|86006826|9066918433|131216019121|906691843320131216151734694400007,50个小喇叭,货币,10,￥,50,0,money,property_shop,1,android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.02,906691843320131216151734694400|86006826|9066918433|131216019122|906691843320131216151734694400008,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.10,906691843320131216151734694400|86006826|9066918433|131216019123|906691843320131216151734694400009,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android_hg_aaa,*,
LittlePay,casual.card.zhajinhua.gifts.10,906691843320131216151734694400|86006826|9066918433|131216019124|906691843320131216151734694400010,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android_hg_aaa,*,3:10
Golds,casual.card.zhajinhua.golds.11,906691843320131208222559663700|86006826|9066918433|131208018242|906691843320131208222559663700001,2万金币,货币,2,￥,20000,0,money,shop,-1,android|ios_huangguan|android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.01,906691843320131208222559663700|86006826|9066918433|131208018243|906691843320131208222559663700002,10万金币,货币,10,￥,100000,5000,money,shop,-1,android|ios_huangguan|android_hg|android_hg_ysz,*,
Golds,casual.card.zhajinhua.golds.03,906691843320131208222559663700|86006826|9066918433|131208018244|906691843320131208222559663700003,30万金币,货币,30,￥,300000,50000,money,shop,-1,android|ios_huangguan|android_hg|android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.4,906691843320131208222559663700|86006826|9066918433|131208018245|906691843320131208222559663700004,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android|ios_huangguan|android_hg|android_hg_ysz,*,
Diamonds,casual.card.zhajinhua.diamonds.20,906691843320131208222559663700|86006826|9066918433|131208018246|906691843320131208222559663700005,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android|ios_huangguan|android_hg|android_hg_ysz,*,
