#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,1,20000金币,货币,2,￥,20000,0,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.01,2,100000金币,货币,10,￥,100000,5000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.03,3,300000金币,货币,30,￥,300000,50000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.04,13,500000金币,货币,50,￥,500000,135000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.05,14,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Golds,casual.card.zhajinhua.golds.06,15,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Diamonds,casual.card.zhajinhua.diamonds.4,4,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Diamonds,casual.card.zhajinhua.diamonds.20,5,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Diamonds,casual.card.zhajinhua.diamonds.60,6,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
Horn,casual.card.zhajinhua.horn.50,7,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
MatchNote,casual.card.zhajinhua.notes.02,8,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
MatchNote,casual.card.zhajinhua.notes.10,9,120张参赛券,货币,10,￥,120,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
LittlePay,casual.card.zhajinhua.gifts.10,10,超值礼包,货币,0.1,￥,30000,0,money,super_shop,1,android|android_hg_ysz|android_hg|ios_huangguan,*,3:10
KickCard,casual.card.zhajinhua.kickcard.02,11,2张踢人卡,货币,2,￥,2,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
KickCard,casual.card.zhajinhua.kickcard.10,12,10张踢人卡,货币,10,￥,12,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|ios_huangguan,*,
