#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.11,com.xiaomi.zhajinhua.code1,20000金币,货币,2,￥,20000,0,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.01,com.xiaomi.zhajinhua.code2,100000金币赠5千,货币,10,￥,100000,5000,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.03,com.xiaomi.zhajinhua.code3,300000金币赠5万,货币,30,￥,300000,50000,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.04,com.xiaomi.zhajinhua.code8,500000金币赠13.5万,货币,50,￥,500000,135000,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.05,com.xiaomi.zhajinhua.code9,1000000金币赠55.5万,货币,100,￥,1000000,555000,money,shop,-1,android,*,
Golds,casual.card.zhajinhua.golds.06,com.xiaomi.zhajinhua.code10,3000000金币赠500万,货币,300,￥,3000000,5000000,money,shop,-1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.4,com.xiaomi.zhajinhua.code4,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.20,com.xiaomi.zhajinhua.code5,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android,*,
Diamonds,casual.card.zhajinhua.diamonds.60,com.xiaomi.zhajinhua.code6,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android,*,
Horn,casual.card.zhajinhua.horn.50,com.xiaomi.zhajinhua.code7,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android,*,
