#CatId,GameItemId,ItemId,ItemName,ItemType,PriceValue,PriceUnit,Quantity,GiftQuantity,PayCurrency,PaymentPoint,AcceptQuantity,SupportOS,SupportChannel,
Golds,casual.card.zhajinhua.golds.01,casual_card_zhajinhua_golds_105k,100000金币,货币,10,￥,100000,5000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.03,casual_card_zhajinhua_golds_350k,300000金币,货币,30,￥,300000,50000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.04,casual_card_zhajinhua_golds_635k,500000金币,货币,50,￥,500000,135000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.05,casual_card_zhajinhua_golds_1555k,1000000金币,货币,100,￥,1000000,555000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Golds,casual.card.zhajinhua.golds.06,casual_card_zhajinhua_golds_8000k,3000000金币,货币,300,￥,3000000,5000000,money,shop,-1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.4,casual_card_zhajinhua_diamonds_4,4颗钻石,货币,2,￥,4,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.20,casual_card_zhajinhua_diamonds_20,20颗钻石,货币,10,￥,20,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Diamonds,casual.card.zhajinhua.diamonds.60,casual_card_zhajinhua_diamonds_60,60颗钻石,货币,30,￥,60,0,money,change_card|property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
Horn,casual.card.zhajinhua.horn.50,casual_card_zhajinhua_horn_50,小喇叭x50,货币,10,￥,50,0,money,property_shop,1,android|ios|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
MatchNote,casual.card.zhajinhua.notes.02,casual_card_zhajinhua_notes_20,20张参赛券,货币,2,￥,20,0,money,property_shop,1,android|ios_huangguan|android_hg_ysz|android_hg|android_hg_aaa,*,
